epoch,train_loss,val_loss,train_acc,val_acc,total_dice,total_recall,total_f1_score,dice_wt,precision_wt,recall_wt,f1_wt,specificity_wt,boundary_dice_wt,dice_tc,precision_tc,recall_tc,f1_tc,specificity_tc,boundary_dice_tc,dice_et,precision_et,recall_et,f1_et,specificity_et,boundary_dice_et
25,0.7852,0.7735,0.9902,0.9842,0.3899,0.6101,0.3863,0.3648,0.5049,0.3607,0.3648,0.9992,0.1633,0.4008,0.2792,0.8505,0.4008,0.9878,0.1033,0.404,0.3482,0.6191,0.3933,0.9975,0.2747
26,0.7828,0.7703,0.9901,0.9878,0.3876,0.5639,0.3841,0.4059,0.4759,0.4513,0.4059,0.9977,0.168,0.4148,0.3644,0.5721,0.4148,0.9954,0.1655,0.3422,0.258,0.6683,0.3314,0.9959,0.2076
27,0.781,0.7787,0.9901,0.981,0.3627,0.5974,0.3591,0.3561,0.4503,0.3899,0.3561,0.9986,0.1782,0.3814,0.2738,0.806,0.3814,0.9878,0.1084,0.3506,0.3125,0.5963,0.3398,0.995,0.2609
28,0.7787,0.768,0.9892,0.989,0.4104,0.5981,0.4068,0.3677,0.5597,0.3355,0.3677,0.9994,0.1594,0.4731,0.3651,0.7964,0.4731,0.9926,0.1467,0.3903,0.3081,0.6625,0.3796,0.9976,0.238
29,0.7764,0.7618,0.9898,0.9849,0.3736,0.5744,0.37,0.3335,0.443,0.3412,0.3335,0.9991,0.1693,0.4042,0.3076,0.8121,0.4042,0.9887,0.1221,0.3831,0.3476,0.5699,0.3723,0.998,0.2808
30,0.7737,0.7826,0.9901,0.9801,0.3339,0.6004,0.3339,0.3536,0.4985,0.3491,0.3536,0.9988,0.1478,0.3424,0.2437,0.7475,0.3424,0.9866,0.0937,0.3057,0.2278,0.7047,0.3057,0.9947,0.1615
31,0.7717,0.7805,0.9892,0.9845,0.3551,0.5727,0.3551,0.3345,0.4487,0.3257,0.3345,0.9992,0.1544,0.4106,0.3263,0.761,0.4106,0.9901,0.1311,0.3202,0.2553,0.6314,0.3202,0.996,0.2093
32,0.7696,0.7878,0.9892,0.9784,0.3355,0.5585,0.3319,0.2813,0.5374,0.2324,0.2813,0.9998,0.1303,0.3509,0.2414,0.904,0.3509,0.9816,0.0856,0.3742,0.3623,0.5391,0.3635,0.9974,0.2532
33,0.767,0.7672,0.991,0.9866,0.3692,0.5784,0.3656,0.3591,0.5051,0.3563,0.3591,0.9991,0.1702,0.4141,0.3299,0.7289,0.4141,0.992,0.1368,0.3344,0.2688,0.6499,0.3236,0.9964,0.2068
34,0.7655,0.7605,0.9914,0.9875,0.3861,0.5643,0.3825,0.353,0.475,0.3671,0.353,0.9992,0.1832,0.4357,0.3633,0.76,0.4357,0.9918,0.1495,0.3697,0.3359,0.5656,0.3589,0.9981,0.2758
35,0.7635,0.7748,0.9914,0.9875,0.381,0.5611,0.3774,0.3474,0.4952,0.3509,0.3474,0.9992,0.1691,0.4346,0.3547,0.7368,0.4346,0.9927,0.1463,0.361,0.3171,0.5957,0.3502,0.9969,0.2449
36,0.7627,0.7695,0.9916,0.9897,0.4033,0.5674,0.3997,0.3402,0.5015,0.3182,0.3402,0.9995,0.1741,0.4835,0.3937,0.7861,0.4835,0.9932,0.1629,0.3862,0.3404,0.5978,0.3755,0.9983,0.2596
37,0.7611,0.7626,0.9917,0.9884,0.4109,0.5952,0.4073,0.3867,0.4868,0.4297,0.3867,0.9988,0.1942,0.4524,0.3661,0.7617,0.4524,0.9927,0.1527,0.3934,0.348,0.5943,0.3827,0.9978,0.2947
38,0.7595,0.7555,0.9923,0.9902,0.4157,0.5503,0.4122,0.3517,0.5331,0.3589,0.3517,0.9993,0.1877,0.4886,0.4121,0.7453,0.4886,0.9942,0.1803,0.4069,0.4083,0.5468,0.3961,0.9987,0.3032
39,0.7583,0.7622,0.9923,0.9879,0.4064,0.5857,0.4028,0.3957,0.4943,0.4278,0.3957,0.9988,0.192,0.4502,0.3671,0.7586,0.4502,0.9928,0.1519,0.3732,0.329,0.5708,0.3625,0.9974,0.2805
40,0.7576,0.7618,0.9922,0.9895,0.4087,0.5713,0.4051,0.3659,0.5351,0.3561,0.3659,0.9995,0.1902,0.4762,0.4017,0.7902,0.4762,0.9931,0.1655,0.3839,0.3544,0.5676,0.3731,0.9983,0.2938
41,0.7581,0.7663,0.992,0.9897,0.4152,0.5657,0.408,0.3324,0.5281,0.311,0.3324,0.9996,0.1812,0.4915,0.3971,0.8313,0.4915,0.9927,0.1666,0.4217,0.3845,0.5548,0.4002,0.9988,0.3129
42,0.7568,0.7583,0.9925,0.9893,0.4204,0.5837,0.4168,0.3837,0.5272,0.3946,0.3837,0.9993,0.1971,0.4728,0.4011,0.7822,0.4728,0.993,0.1684,0.4046,0.3652,0.5742,0.3939,0.9985,0.3089
43,0.7564,0.7617,0.9923,0.9903,0.4188,0.5649,0.4152,0.3411,0.5599,0.312,0.3411,0.9997,0.1809,0.4949,0.4028,0.8138,0.4949,0.9931,0.1738,0.4205,0.3925,0.569,0.4097,0.999,0.3228
44,0.7557,0.7668,0.9924,0.9892,0.418,0.6058,0.4144,0.393,0.5449,0.3958,0.393,0.9991,0.194,0.4734,0.3866,0.7741,0.4734,0.993,0.1689,0.3876,0.3256,0.6475,0.3768,0.9977,0.2622
45,0.7548,0.7609,0.9926,0.9901,0.4311,0.5851,0.4275,0.3699,0.5554,0.3553,0.3699,0.9995,0.1941,0.4967,0.396,0.8306,0.4967,0.9928,0.1736,0.4267,0.396,0.5693,0.416,0.9986,0.3348
46,0.7551,0.7578,0.9924,0.9889,0.4093,0.5614,0.4021,0.3572,0.5359,0.351,0.3572,0.9994,0.1808,0.4588,0.3784,0.767,0.4588,0.9928,0.1555,0.4118,0.3946,0.5662,0.3903,0.9983,0.2959
47,0.7537,0.7631,0.9924,0.9901,0.4375,0.5926,0.4339,0.377,0.5431,0.372,0.377,0.9995,0.2025,0.4976,0.3918,0.8221,0.4976,0.993,0.1752,0.4379,0.4087,0.5838,0.4271,0.9988,0.3346
48,0.7538,0.761,0.9927,0.99,0.4293,0.5883,0.4257,0.3741,0.5362,0.3709,0.3741,0.9995,0.2009,0.4903,0.3934,0.8099,0.4903,0.993,0.1719,0.4233,0.3896,0.5842,0.4126,0.9987,0.3331
49,0.7532,0.7563,0.9926,0.9905,0.4163,0.5406,0.4092,0.3545,0.5404,0.3464,0.3545,0.9995,0.187,0.4818,0.4307,0.7331,0.4818,0.9944,0.186,0.4127,0.3909,0.5424,0.3912,0.9988,0.3178
50,0.7534,0.7581,0.9927,0.9905,0.4099,0.528,0.4027,0.3244,0.5778,0.3055,0.3244,0.9997,0.1807,0.4876,0.4243,0.741,0.4876,0.9943,0.1825,0.4178,0.4097,0.5374,0.3963,0.999,0.3113
51,0.7528,0.7549,0.9929,0.9901,0.4271,0.5593,0.4163,0.3601,0.5574,0.3485,0.3601,0.9996,0.1924,0.4823,0.3998,0.7761,0.4823,0.9935,0.1723,0.4389,0.4121,0.5532,0.4066,0.999,0.3158
52,0.7527,0.7562,0.9929,0.9908,0.4483,0.5826,0.4412,0.4015,0.5531,0.4147,0.4015,0.9993,0.2108,0.4976,0.4107,0.7781,0.4976,0.9939,0.1808,0.4459,0.425,0.5549,0.4244,0.9991,0.3441
53,0.7523,0.7558,0.9929,0.9902,0.4401,0.5835,0.4294,0.3884,0.5366,0.3954,0.3884,0.9994,0.203,0.4871,0.3987,0.7992,0.4871,0.9932,0.1721,0.4449,0.4093,0.5559,0.4126,0.999,0.3258
54,0.7525,0.7588,0.9928,0.9899,0.4458,0.6035,0.4386,0.3987,0.6029,0.3906,0.3987,0.9995,0.2107,0.4853,0.3846,0.8255,0.4853,0.9926,0.1645,0.4532,0.4,0.5943,0.4317,0.9989,0.338
