Epoch,Train Loss,Train Accuracy,Total Dice,Total Recall,Total F1 Score,WT Dice,WT Prec,WT Recall,WT F1,WT Spec,WT Boundary DICE,TC Dice,TC Prec,TC Recall,TC F1,TC Spec,TC Boundary DICE,ET Dice,ET Prec,ET Recall,ET F1,ET Spec,ET Boundary DICE,Val_Loss,Val_Acc
26,0.7446,0.8499,0.4155,0.7234,0.4155,0.0147,0.0076,0.4857,0.0147,0.8555,0.0276,0.6406,0.5114,0.9525,0.6406,0.9952,0.2168,0.5913,0.537,0.7321,0.5913,0.9989,0.3833,0.7948,0.8995
27,0.7363,0.8558,0.4177,0.7289,0.4177,0.0155,0.008,0.4833,0.0155,0.8615,0.0292,0.6422,0.5139,0.9511,0.6422,0.9952,0.2229,0.5954,0.5344,0.7522,0.5954,0.9989,0.3841,0.7872,0.9577
28,0.7273,0.8644,0.4323,0.7333,0.4323,0.0172,0.009,0.4956,0.0172,0.8693,0.031,0.663,0.5363,0.9499,0.663,0.9958,0.2429,0.6168,0.5611,0.7544,0.6168,0.999,0.4071,0.7843,0.9471
29,0.7189,0.8879,0.4344,0.7236,0.4344,0.0287,0.0179,0.4741,0.0287,0.893,0.0281,0.6641,0.5402,0.9449,0.6641,0.9958,0.2521,0.6106,0.5519,0.7517,0.6106,0.999,0.3961,0.7792,0.9509
30,0.7041,0.9936,0.5533,0.7323,0.5533,0.3565,0.3238,0.4906,0.3565,0.9986,0.1824,0.6715,0.5534,0.9373,0.6715,0.9961,0.2714,0.6319,0.576,0.769,0.6319,0.9991,0.4171,0.7841,0.8976
31,0.6916,0.9937,0.5616,0.7356,0.5616,0.3816,0.3547,0.5098,0.3816,0.9987,0.2013,0.679,0.5673,0.9279,0.679,0.9963,0.2882,0.6242,0.5709,0.7692,0.6242,0.9989,0.4181,0.7714,0.9447
32,0.6783,0.9945,0.5782,0.7364,0.5782,0.3948,0.365,0.514,0.3948,0.9988,0.2063,0.7033,0.5949,0.9269,0.7033,0.9968,0.3167,0.6364,0.5862,0.7683,0.6364,0.9991,0.4236,0.7787,0.891
33,0.6645,0.9951,0.6039,0.748,0.6039,0.4376,0.4235,0.5299,0.4376,0.9991,0.2424,0.7176,0.6172,0.9242,0.7176,0.9971,0.3421,0.6564,0.5947,0.79,0.6564,0.9991,0.4449,0.7619,0.9767
34,0.6498,0.9955,0.6174,0.7508,0.6174,0.4562,0.4404,0.5508,0.4562,0.9992,0.2614,0.7333,0.6379,0.9211,0.7333,0.9974,0.3623,0.6629,0.6147,0.7803,0.6629,0.9992,0.4536,0.7613,0.9542
35,0.6346,0.9959,0.633,0.7525,0.633,0.4879,0.4902,0.5465,0.4879,0.9993,0.2867,0.7456,0.6555,0.9158,0.7456,0.9977,0.3845,0.6655,0.6096,0.7952,0.6655,0.9992,0.4562,0.7619,0.9428
36,0.6201,0.9957,0.6246,0.7533,0.6246,0.46,0.451,0.5538,0.46,0.9992,0.2691,0.7457,0.6647,0.9044,0.7457,0.9978,0.3994,0.6682,0.6099,0.8016,0.6682,0.9991,0.463,0.7566,0.9459
37,0.6039,0.996,0.6388,0.7544,0.6388,0.4929,0.501,0.5613,0.4929,0.9993,0.2967,0.7528,0.6784,0.8946,0.7528,0.998,0.4147,0.6708,0.6117,0.8073,0.6708,0.9991,0.4614,0.75,0.9659
38,0.5867,0.9961,0.6406,0.7551,0.6406,0.4859,0.4773,0.5689,0.4859,0.9993,0.292,0.7581,0.6907,0.8844,0.7581,0.9981,0.4262,0.6778,0.6195,0.8121,0.6778,0.9992,0.4689,0.7498,0.9216
39,0.5677,0.9964,0.6572,0.7576,0.6572,0.526,0.5357,0.589,0.526,0.9994,0.3191,0.7683,0.7097,0.883,0.7683,0.9983,0.4466,0.6773,0.6223,0.8009,0.6773,0.9992,0.4749,0.7502,0.9076
40,0.5457,0.9967,0.675,0.7668,0.675,0.5432,0.5489,0.6003,0.5432,0.9995,0.3449,0.7817,0.729,0.8814,0.7817,0.9985,0.4732,0.7002,0.6449,0.8186,0.7002,0.9993,0.5069,0.7342,0.969
41,0.5233,0.9969,0.6869,0.7707,0.6869,0.5629,0.5722,0.6153,0.5629,0.9995,0.3633,0.7937,0.7487,0.8782,0.7937,0.9987,0.4908,0.7041,0.6507,0.8186,0.7041,0.9993,0.5123,0.7343,0.9402
42,0.5026,0.997,0.6923,0.7711,0.6923,0.5763,0.5928,0.631,0.5763,0.9995,0.374,0.7931,0.7552,0.8647,0.7931,0.9987,0.497,0.7074,0.6556,0.8176,0.7074,0.9993,0.5194,0.7376,0.9457
