Epoch,Train Loss,Train Accuracy,Total Dice,Total Recall,Total F1 Score,WT Dice,WT Prec,WT Recall,WT F1,WT Spec,WT Boundary DICE,TC Dice,TC Prec,TC Recall,TC F1,TC Spec,TC Boundary DICE,ET Dice,ET Prec,ET Recall,ET F1,ET Spec,ET Boundary DICE,Val_Loss,Val_Acc
107,0.1285,0.9983,0.8366,0.8343,0.8355,0.801,0.8318,0.7812,0.7976,0.9998,0.6545,0.8753,0.8712,0.8843,0.8753,0.9993,0.6589,0.8335,0.8358,0.8373,0.8335,0.9998,0.7616,0.4921,0.9847
108,0.1257,0.9983,0.8401,0.8362,0.8389,0.8058,0.839,0.782,0.8024,0.9998,0.662,0.8796,0.875,0.8875,0.8796,0.9994,0.6678,0.8348,0.8368,0.8392,0.8348,0.9998,0.7627,0.512,0.976
109,0.1261,0.9983,0.8387,0.8358,0.8387,0.7997,0.8387,0.7825,0.7997,0.9998,0.661,0.8787,0.8774,0.8838,0.8787,0.9994,0.6685,0.8376,0.8387,0.8409,0.8376,0.9998,0.7686,0.476,0.985
110,0.1253,0.9983,0.8389,0.837,0.8389,0.8006,0.8396,0.7843,0.8006,0.9998,0.6594,0.8782,0.8735,0.8862,0.8782,0.9993,0.6656,0.838,0.8398,0.8407,0.838,0.9998,0.7687,0.4664,0.9838
111,0.1236,0.9984,0.8423,0.8392,0.8411,0.8077,0.8382,0.7892,0.8043,0.9998,0.6675,0.881,0.8772,0.8879,0.881,0.9994,0.6736,0.8381,0.8406,0.8406,0.8381,0.9998,0.7705,0.5438,0.9665
112,0.1221,0.9984,0.8444,0.8393,0.8432,0.8079,0.8444,0.7876,0.8079,0.9998,0.6731,0.8821,0.8785,0.8882,0.8821,0.9994,0.6747,0.8431,0.8418,0.8421,0.8397,0.9998,0.7734,0.5207,0.9748
113,0.1236,0.9984,0.842,0.8389,0.8409,0.8088,0.8383,0.7888,0.8054,0.9998,0.6667,0.8814,0.8767,0.8889,0.8814,0.9994,0.6736,0.8358,0.8394,0.839,0.8358,0.9998,0.7658,0.5165,0.978
114,0.1258,0.9983,0.84,0.8356,0.8378,0.8006,0.8365,0.7843,0.8006,0.9998,0.6651,0.8762,0.8737,0.8835,0.8762,0.9994,0.6602,0.8433,0.8398,0.8392,0.8365,0.9998,0.7683,0.5286,0.9718
115,0.124,0.9983,0.8411,0.8371,0.84,0.8063,0.8438,0.7858,0.8063,0.9998,0.671,0.877,0.873,0.8851,0.877,0.9994,0.6648,0.8401,0.8388,0.8402,0.8367,0.9998,0.77,0.5599,0.9586
116,0.1242,0.9984,0.8409,0.8377,0.8398,0.8057,0.8405,0.7859,0.8024,0.9998,0.6643,0.8822,0.8788,0.8884,0.8822,0.9994,0.6766,0.8349,0.8391,0.8388,0.8349,0.9998,0.7665,0.5287,0.9717
117,0.123,0.9984,0.8411,0.8397,0.8411,0.8049,0.8417,0.7878,0.8049,0.9998,0.6683,0.8824,0.8785,0.889,0.8824,0.9994,0.6763,0.8358,0.837,0.8421,0.8358,0.9998,0.7653,0.4663,0.9862
118,0.1203,0.9984,0.8471,0.8417,0.8449,0.8126,0.8429,0.7931,0.8092,0.9998,0.6754,0.8858,0.8818,0.8919,0.8858,0.9994,0.6833,0.843,0.8444,0.8401,0.8396,0.9998,0.7742,0.4519,0.9861
119,0.1202,0.9984,0.847,0.8415,0.8447,0.8139,0.8466,0.7915,0.8105,0.9998,0.6776,0.8831,0.8805,0.8886,0.8831,0.9994,0.6792,0.8439,0.8412,0.8446,0.8406,0.9998,0.7742,0.5131,0.9759
120,0.1187,0.9984,0.8478,0.8428,0.8466,0.815,0.8474,0.793,0.8116,0.9998,0.6798,0.8859,0.8824,0.8913,0.8859,0.9994,0.6839,0.8424,0.8445,0.844,0.8424,0.9998,0.7784,0.5088,0.9745
121,0.1185,0.9984,0.8479,0.8434,0.8467,0.8157,0.8477,0.7946,0.8123,0.9998,0.6812,0.8864,0.8824,0.8924,0.8864,0.9994,0.6867,0.8416,0.8448,0.8432,0.8416,0.9998,0.7782,0.4951,0.9813
122,0.1172,0.9985,0.8484,0.8453,0.8484,0.8144,0.8483,0.7973,0.8144,0.9998,0.6833,0.8878,0.8847,0.8931,0.8878,0.9994,0.6882,0.843,0.8448,0.8456,0.843,0.9998,0.7801,0.4919,0.9814
123,0.1172,0.9985,0.8495,0.8452,0.8484,0.8186,0.8478,0.7982,0.8152,0.9998,0.6864,0.8867,0.883,0.8928,0.8867,0.9994,0.6869,0.8434,0.8461,0.8447,0.8434,0.9998,0.7817,0.4595,0.9876
124,0.1196,0.9984,0.8472,0.8421,0.845,0.8129,0.8436,0.7937,0.8096,0.9998,0.6755,0.8851,0.8836,0.8892,0.8851,0.9994,0.6838,0.8437,0.8427,0.8434,0.8403,0.9998,0.7747,0.4973,0.9769
125,0.1198,0.9984,0.8447,0.8422,0.8447,0.811,0.8424,0.7936,0.811,0.9998,0.6799,0.8837,0.8803,0.89,0.8837,0.9994,0.6798,0.8396,0.8422,0.8429,0.8396,0.9998,0.774,0.508,0.9762
126,0.1145,0.9985,0.8528,0.848,0.8517,0.8229,0.8512,0.8019,0.8195,0.9998,0.694,0.8889,0.885,0.8947,0.8889,0.9994,0.6923,0.8467,0.8485,0.8474,0.8467,0.9998,0.7891,0.5567,0.9624
127,0.1162,0.9985,0.8504,0.8462,0.8493,0.8202,0.8504,0.7979,0.8168,0.9998,0.6884,0.8881,0.8837,0.8945,0.8881,0.9994,0.6904,0.843,0.8452,0.8461,0.843,0.9998,0.7805,0.4517,0.986
128,0.119,0.9984,0.8466,0.8425,0.8454,0.816,0.8444,0.7959,0.8126,0.9998,0.682,0.8842,0.8819,0.8896,0.8842,0.9994,0.6842,0.8395,0.8435,0.8421,0.8395,0.9998,0.7779,0.4517,0.9855
129,0.1557,0.9977,0.7995,0.8,0.7961,0.7519,0.8036,0.7398,0.7485,0.9998,0.6051,0.8346,0.8314,0.8525,0.8346,0.9992,0.5962,0.8119,0.8189,0.8076,0.8051,0.9997,0.7223,0.5623,0.963
130,0.1267,0.9982,0.8371,0.8326,0.8349,0.8066,0.8406,0.7843,0.8033,0.9998,0.665,0.8674,0.865,0.8777,0.8674,0.9993,0.6469,0.8373,0.8397,0.8359,0.8339,0.9998,0.764,0.5685,0.959
131,0.1188,0.9984,0.8466,0.8407,0.8455,0.8156,0.8484,0.792,0.8122,0.9998,0.681,0.8828,0.8818,0.8871,0.8828,0.9994,0.6795,0.8414,0.844,0.843,0.8414,0.9998,0.778,0.4543,0.9831
132,0.1167,0.9984,0.8483,0.8454,0.8483,0.817,0.8469,0.8015,0.817,0.9998,0.6891,0.8847,0.8821,0.8906,0.8847,0.9994,0.6829,0.8433,0.8465,0.844,0.8433,0.9998,0.7827,0.4975,0.9748
133,0.1144,0.9985,0.8523,0.8465,0.8511,0.8246,0.856,0.8,0.8212,0.9998,0.6951,0.8872,0.884,0.8929,0.8872,0.9994,0.6883,0.845,0.8478,0.8465,0.845,0.9998,0.7846,0.4906,0.9816
134,0.1173,0.9984,0.8485,0.843,0.8474,0.8146,0.851,0.7942,0.8146,0.9998,0.6842,0.887,0.8837,0.8926,0.887,0.9994,0.6874,0.8439,0.8446,0.8421,0.8405,0.9998,0.7763,0.5316,0.9736
135,0.1129,0.9985,0.8545,0.849,0.8533,0.827,0.8566,0.8045,0.8236,0.9998,0.6981,0.891,0.8897,0.8939,0.891,0.9994,0.6975,0.8454,0.8462,0.8486,0.8454,0.9998,0.7859,0.4708,0.9861
136,0.1121,0.9985,0.8542,0.8497,0.8542,0.8239,0.8548,0.8059,0.8239,0.9998,0.7001,0.8916,0.8888,0.8962,0.8916,0.9994,0.6986,0.847,0.8505,0.8469,0.847,0.9998,0.7891,0.5025,0.9778
137,0.113,0.9985,0.8529,0.8492,0.8529,0.8222,0.8545,0.8041,0.8222,0.9998,0.6975,0.8917,0.8891,0.896,0.8917,0.9994,0.7001,0.8448,0.8471,0.8476,0.8448,0.9998,0.7837,0.4696,0.9876
138,0.1108,0.9985,0.8569,0.8509,0.8558,0.8296,0.8593,0.8067,0.8262,0.9998,0.7034,0.8919,0.8891,0.8964,0.8919,0.9994,0.7001,0.8492,0.8521,0.8495,0.8492,0.9998,0.7931,0.477,0.9864
139,0.1105,0.9985,0.856,0.8512,0.856,0.8276,0.8589,0.8074,0.8276,0.9998,0.7049,0.8919,0.8897,0.896,0.8919,0.9994,0.699,0.8486,0.8507,0.8501,0.8486,0.9998,0.7928,0.5126,0.9807
140,0.1091,0.9985,0.8579,0.8529,0.8579,0.8302,0.8615,0.8095,0.8302,0.9998,0.7087,0.8934,0.8901,0.8981,0.8934,0.9994,0.7027,0.8501,0.8522,0.8511,0.8501,0.9998,0.7958,0.5167,0.9687
141,0.1097,0.9985,0.8595,0.852,0.8572,0.8321,0.8579,0.8098,0.8287,0.9998,0.7055,0.8931,0.8916,0.8963,0.8931,0.9994,0.7036,0.8532,0.8524,0.8498,0.8498,0.9998,0.794,0.4539,0.9871
142,0.1115,0.9985,0.8557,0.8506,0.8546,0.8285,0.8579,0.8063,0.8251,0.9998,0.7025,0.8927,0.8903,0.8969,0.8927,0.9994,0.7017,0.846,0.8476,0.8487,0.846,0.9998,0.785,0.5335,0.9722
143,0.1113,0.9985,0.856,0.8509,0.8548,0.8283,0.8535,0.8084,0.8249,0.9998,0.7022,0.8934,0.8906,0.8976,0.8934,0.9994,0.7035,0.8462,0.8504,0.8466,0.8462,0.9998,0.7872,0.4885,0.9797
144,0.1089,0.9986,0.859,0.8536,0.8579,0.8335,0.8598,0.811,0.8301,0.9998,0.7111,0.8944,0.8918,0.8982,0.8944,0.9994,0.7061,0.8493,0.8509,0.8515,0.8493,0.9998,0.7944,0.474,0.9803
145,0.1083,0.9986,0.8586,0.853,0.8586,0.8303,0.8623,0.8091,0.8303,0.9998,0.7099,0.894,0.8911,0.8989,0.894,0.9994,0.7063,0.8515,0.8542,0.851,0.8515,0.9998,0.7993,0.4607,0.982
146,0.108,0.9986,0.8591,0.8537,0.8591,0.8315,0.8609,0.8109,0.8315,0.9998,0.7126,0.8939,0.8917,0.8978,0.8939,0.9994,0.7043,0.8518,0.8531,0.8525,0.8518,0.9998,0.7986,0.5635,0.9626
147,0.1079,0.9986,0.8603,0.8553,0.8591,0.835,0.8589,0.8138,0.8316,0.9998,0.7118,0.895,0.892,0.8996,0.895,0.9994,0.7078,0.8508,0.8522,0.8524,0.8508,0.9998,0.7956,0.4908,0.9778
148,0.1101,0.9985,0.8574,0.8527,0.8562,0.8306,0.8555,0.8115,0.8272,0.9998,0.7049,0.8935,0.8912,0.8976,0.8935,0.9994,0.7037,0.8481,0.8512,0.8489,0.8481,0.9998,0.7919,0.5427,0.9722
149,0.1095,0.9986,0.8592,0.8534,0.857,0.8303,0.8545,0.812,0.8269,0.9998,0.7054,0.8945,0.8931,0.8976,0.8945,0.9995,0.7063,0.8529,0.8513,0.8507,0.8495,0.9998,0.7925,0.5345,0.9782
150,0.1116,0.9985,0.8551,0.8502,0.854,0.8278,0.8542,0.8055,0.8244,0.9998,0.7038,0.8931,0.8888,0.8992,0.8931,0.9994,0.7038,0.8446,0.8502,0.8459,0.8446,0.9998,0.7854,0.5482,0.9719
151,0.1071,0.9986,0.8623,0.8554,0.86,0.8387,0.8631,0.8146,0.8353,0.9998,0.7169,0.8937,0.8914,0.8981,0.8937,0.9994,0.7036,0.8545,0.8518,0.8535,0.8512,0.9998,0.7967,0.5504,0.9661
152,0.1048,0.9986,0.8642,0.8567,0.8631,0.8425,0.8686,0.817,0.8391,0.9999,0.7235,0.8966,0.8944,0.9003,0.8966,0.9995,0.7121,0.8536,0.8566,0.8529,0.8536,0.9998,0.8029,0.4289,0.9901
153,0.1085,0.9985,0.8604,0.8539,0.8581,0.8374,0.8629,0.8138,0.834,0.9998,0.7169,0.8906,0.8889,0.8957,0.8906,0.9994,0.6982,0.8533,0.8506,0.8522,0.8499,0.9998,0.7962,0.4786,0.9811
154,0.1123,0.9984,0.8542,0.8478,0.853,0.8325,0.8595,0.8078,0.8291,0.9998,0.7054,0.8826,0.8802,0.8887,0.8826,0.9994,0.6805,0.8475,0.8515,0.847,0.8475,0.9998,0.7923,0.4568,0.9873
155,0.1102,0.9985,0.8569,0.8512,0.8558,0.8313,0.8593,0.8086,0.8279,0.9998,0.7058,0.8891,0.8872,0.8938,0.8891,0.9994,0.6947,0.8503,0.8518,0.8513,0.8503,0.9998,0.7965,0.5197,0.9779
156,0.1103,0.9985,0.8556,0.8523,0.8556,0.8279,0.8566,0.8125,0.8279,0.9998,0.705,0.8919,0.8895,0.8971,0.8919,0.9994,0.7006,0.847,0.8512,0.8472,0.847,0.9998,0.7894,0.5497,0.9681
157,0.1075,0.9986,0.8602,0.8543,0.8591,0.8355,0.8604,0.8137,0.8321,0.9998,0.7114,0.8941,0.8929,0.8972,0.8941,0.9994,0.7067,0.8511,0.8533,0.852,0.8511,0.9998,0.7968,0.5034,0.977
158,0.1074,0.9986,0.8604,0.8548,0.8592,0.8352,0.859,0.8135,0.8318,0.9998,0.7131,0.8949,0.8925,0.899,0.8949,0.9994,0.7074,0.851,0.8529,0.852,0.851,0.9998,0.797,0.4736,0.9865
159,0.1039,0.9986,0.8642,0.8587,0.8642,0.8401,0.8675,0.8198,0.8401,0.9998,0.7253,0.8981,0.8961,0.9016,0.8981,0.9995,0.7157,0.8543,0.8563,0.8548,0.8543,0.9998,0.8043,0.4949,0.9775
160,0.103,0.9986,0.8652,0.8592,0.8652,0.8414,0.869,0.82,0.8414,0.9999,0.728,0.8988,0.8971,0.9017,0.8988,0.9995,0.7173,0.8555,0.857,0.8559,0.8555,0.9998,0.806,0.49,0.9819
