epoch,train_loss,val_loss,dice_wt,dice_tc,dice_et,dice_total,precision_wt,precision_tc,precision_et,precision_total,recall_wt,recall_tc,recall_et,recall_total,f1_wt,f1_tc,f1_et,f1_total,specificity_wt,specificity_tc,specificity_et,train_accuracy,boundary_dice_wt,boundary_dice_tc,boundary_dice_et,Val_Accuracy
12,0.29734696,0.520869601,0.291726941,0.309603589,0.266317323,0.289215951,0.249920376,0.216439375,0.179648295,0.215336016,0.350329977,0.543584013,0.51456044,0.469491477,0.291726941,0.309603589,0.266317323,0.289215951,0.997117967,0.986807864,0.995469358,0.996164649,0.079504419,0.097809635,0.112637621,0.9954
13,0.291999991,0.526660554,0.239489444,0.254164024,0.125288269,0.206313912,0.167296311,0.170605734,0.069673068,0.135858371,0.421286665,0.498140299,0.620948992,0.513458652,0.239489444,0.254164024,0.125288269,0.206313912,0.99425225,0.983765789,0.984012779,0.996305934,0.123978446,0.11204784,0.151359595,0.9954
14,0.281807889,0.535051578,0.262735848,0.353333473,0.244356455,0.286808592,0.212710395,0.270751965,0.164424503,0.215962288,0.343526852,0.508399318,0.475523437,0.442483202,0.262735848,0.353333473,0.244356455,0.286808592,0.996514842,0.990820464,0.99534052,0.996401616,0.157683865,0.091130877,0.156464736,0.9954
15,0.283710523,0.520355231,0.277515629,0.303355776,0.225919793,0.268930399,0.247927967,0.24424305,0.136249129,0.209473382,0.315122238,0.400218279,0.660849927,0.458730148,0.277515629,0.303355776,0.225919793,0.268930399,0.997379833,0.991698263,0.991921997,0.996367891,0.133001473,0.114636542,0.116415103,0.9954
16,0.273443573,0.518293581,0.304925972,0.368820444,0.343450935,0.339065784,0.277214583,0.291047237,0.26581911,0.278026977,0.338792963,0.503315714,0.485132788,0.442413822,0.304925972,0.368820444,0.343450935,0.339065784,0.997578727,0.991781238,0.997416408,0.996380865,0.099538783,0.109388957,0.097782388,0.9954
17,0.261534234,0.483584224,0.301313753,0.285316771,0.249311391,0.278647305,0.204957756,0.197012096,0.158575146,0.186848332,0.568651847,0.517083882,0.582771676,0.556169135,0.301313753,0.285316771,0.249311391,0.278647305,0.993953719,0.985871722,0.994037546,0.996632592,0.1646868,0.156693077,0.179237192,0.9954
18,0.252714885,0.48902245,0.354584658,0.299636036,0.317882912,0.324034536,0.294986611,0.215043701,0.221480125,0.243836812,0.444361973,0.493937661,0.562889717,0.50039645,0.354584658,0.299636036,0.317882912,0.324034536,0.997088961,0.987913432,0.996184911,0.996610449,0.101142142,0.087677618,0.150855147,0.9954
19,0.242080948,0.474106421,0.321924985,0.427897113,0.301135342,0.350319147,0.293111248,0.357197592,0.201682125,0.283996988,0.357021274,0.533489868,0.594094341,0.494868494,0.321924985,0.427897113,0.301135342,0.350319147,0.997639909,0.99356413,0.9954657,0.996679196,0.138516028,0.111262114,0.154598966,0.9954
20,0.235686588,0.489458369,0.310783386,0.299816229,0.164230635,0.25827675,0.238351059,0.212347316,0.093094624,0.181264333,0.446456818,0.50981731,0.696263872,0.550846,0.310783386,0.299816229,0.164230635,0.25827675,0.996089492,0.987323053,0.98692151,0.996452019,0.184385794,0.135890429,0.182547753,0.9954
21,0.235898284,0.473709257,0.28118856,0.314555717,0.16388302,0.253209099,0.197999145,0.234598407,0.092366214,0.174987922,0.484933591,0.47719702,0.726028004,0.562719538,0.28118856,0.314555717,0.16388302,0.253209099,0.994615941,0.989563037,0.986243839,0.996792153,0.161122046,0.099359885,0.147144328,0.9954
22,0.226401327,0.475789586,0.313628538,0.249054246,0.165388899,0.242690561,0.213748888,0.178576307,0.093582539,0.161969244,0.588725738,0.411432555,0.710754289,0.570304194,0.313628538,0.249054246,0.165388899,0.242690561,0.994064102,0.98731314,0.986726077,0.996782104,0.150835946,0.107514437,0.153022894,0.9954
