epoch,train_loss,train_accuracy,val_loss,val_accuracy,recall,specificity,dice_WT,dice_TC,dice_ET,boundary_dice_WT,boundary_dice_TC,boundary_dice_ET
1,0.8031602180610270,0.7716281238965400,0.7643616900250720,0.8751650185341590,0.32160260434970200,0.9581899581783000,0.00042412295786027600,0.13825273374068100,0.0005277181992196940,0.002076479469973090,0.015929023097436200,0.001998414662439540
2,0.6744135565676930,0.9696442263270950,0.6706208852497310,0.9711395062054240,0.3005414046240660,0.9909807900830810,0.09973281552259080,0.36175563312144700,0.029037018226623000,0.04777793272364750,0.12641600971316300,0.039426597613085500
3,0.5429355005086480,0.9927031827477640,0.6231947057955970,0.9794710755677550,0.30567504261978100,0.9939826537913030,0.17866445905149000,0.2647261765966930,0.1665800046301520,0.10718592350037300,0.11193215561943100,0.11809150231077900
4,0.46544347021539300,0.9938797584892890,0.6562581251601920,0.9314946479682810,0.3757986080766630,0.9773556146173490,0.10292397917117800,0.22602634340697800,0.13505698232946500,0.06760827027756770,0.07780439198866260,0.09022996802881830
5,0.4429755765502740,0.9940854799317330,0.6170680273223570,0.9676469902519710,0.3528126108608520,0.989821209902641,0.10471490031387100,0.3054348010899150,0.19719118186055400,0.0958387568529125,0.1270392051935220,0.1138784557898360
6,0.41420809202275000,0.9948230792431730,0.6219614454217860,0.9513535214902400,0.40727420382275000,0.9840170788334210,0.15418522029367900,0.2530240820862820,0.19722949219554000,0.08554061037410500,0.09032714729637740,0.11274397085997600
7,0.37581883855795500,0.9951629402807200,0.567493858168254,0.9819205949113180,0.3721118743743690,0.994804008153467,0.17127557822825,0.3474393360009830,0.2963139290398120,0.09852525886592300,0.16272698952566600,0.15719608212590600
8,0.34458961825249600,0.9954436657691860,0.5633367058393120,0.9698708459436000,0.44223131112304400,0.9905135154877850,0.26726986988798000,0.28414780914507500,0.2942485140811240,0.1098346815251520,0.1453699052869400,0.15751463912806100
9,0.32367798261723300,0.995658757429967,0.5590274452760410,0.9599411467131190,0.4523196629516110,0.987088675931434,0.2967998509802490,0.24231404104872800,0.29808223572361800,0.12409316915981600,0.12409460698422400,0.14550804824923400
10,0.3075428764193750,0.9957901714777540,0.5574369819180390,0.9770855855855860,0.3724347284413130,0.9935595911285230,0.2123627757201600,0.3182608876155680,0.3174719597351230,0.11628247463979400,0.14688730980092000,0.1587506682538420
11,0.2927093362909250,0.9959532868408660,0.5860349815842270,0.9392998017548800,0.4978844675100240,0.9799896771848700,0.2927385772136550,0.1907983265109640,0.23963979278622000,0.10887559869014200,0.10388246598083000,0.12948548547837400
12,0.289583141773434,0.9958806375794490,0.5544486289491530,0.9489179643510700,0.5194755780897810,0.9831909331641780,0.35512798504332400,0.20660703964144500,0.2795268839783890,0.12794940065502100,0.11649660297345900,0.14801132073538100
13,0.27232057987633400,0.9962553852548260,0.6005430116846760,0.9332566145246810,0.4793073260227560,0.9778909283150860,0.3076731177310690,0.15490812610406600,0.1966215904813590,0.09813434480347320,0.08670405388000870,0.10115367795411000
14,0.264754637520192,0.9963107962570620,0.5221478647074180,0.9674249351890950,0.4958151685316220,0.9895459561765740,0.3827249930048520,0.2567155607978670,0.32720467577102400,0.15226300053751400,0.14704770181190300,0.18130456611521700
15,0.2534982381735820,0.9964927020803910,0.5899140097804970,0.9376575315549930,0.4652749862777940,0.979470673239419,0.35969960304152100,0.15173206502999700,0.18288678051410100,0.11655907907264900,0.09470245547133660,0.09959952367747320
16,0.2520381002607990,0.9965107142331690,0.5215089248644340,0.9602310670045050,0.5303316137055290,0.9869997948811040,0.3659058269577290,0.2775193723191630,0.32877779586184900,0.15159567255715300,0.1351812504335910,0.18172132427806800
17,0.24657054755647300,0.9965100510534370,0.46670359252272400,0.986724926097973,0.48382787522555000,0.9962288706959620,0.35507123650874500,0.40002016601936100,0.4091297384632510,0.166418980454235,0.21037265748790500,0.2216578230588010
18,0.2418621530472220,0.9965912146157020,0.5216579475515600,0.977641528246997,0.40976476008251700,0.993834905462041,0.3348483184257550,0.2676602974872610,0.38168814062867000,0.15072174172560600,0.1335158926424490,0.22699791460262800
19,0.23803019649901600,0.9966540154925850,0.5216637684686760,0.9668230867586340,0.5038379600411980,0.9893944539970640,0.37642758953036000,0.27321599201679300,0.31740012953217300,0.15434559589840700,0.13959214483218700,0.18568130737429500
20,0.2314981595439430,0.9967311466425380,0.5663247994474460,0.9309468785191440,0.52857837725781,0.9771435746940480,0.3559416841478220,0.2044423072015760,0.21902208115199200,0.1382433398137640,0.1089149078925060,0.1219048970074960
21,0.2184697622464880,0.996963369159016,0.487535620057905,0.9629654874601160,0.5398992710028890,0.9880833095493140,0.37788679608880600,0.3207949138409280,0.3951304026299270,0.16132795828161600,0.16564329221888100,0.2213980944687910
22,0.21571440120874800,0.9969884798728810,0.4855549240837230,0.9591122401698570,0.5505423639559980,0.9866909576289960,0.4114015141882210,0.3025712424167890,0.3745940732612850,0.18564588392715900,0.15191862643784800,0.20496335295850000
23,0.21192538303844,0.9970629119585690,0.4953273132040690,0.9658150528458150,0.5370488330977500,0.9890296264666990,0.4141095474106580,0.28742686059259900,0.35529637933784200,0.17446747164434100,0.15556229700500500,0.19524188269613300
24,0.21045587012323300,0.9970756999617470,0.5042878554479500,0.9842459339222040,0.3991297655748740,0.996029206929767,0.31475505399374500,0.3348720519173210,0.40146645029226200,0.1350109668567190,0.16563212803727900,0.2444347585446440
25,0.2112067130157500,0.9971021627824860,0.5147610308753480,0.9727355729753190,0.47826597274794700,0.9915975081157070,0.3841076060400630,0.2792300458793020,0.33995963526667800,0.16482968379746800,0.15128435270972300,0.2066569233140150
26,0.20545586448604800,0.9971243217396420,0.5207597798592340,0.9580556010111670,0.5284067609813490,0.9863482740397250,0.38351069251033900,0.26409765463957500,0.3260823938411960,0.15890802312528000,0.14524795740429500,0.18760175392437900
27,0.20326073604115000,0.997178281323564,0.49232993254790400,0.9755820385815500,0.4575498395083950,0.9927959941152990,0.34964866069985700,0.3228312389189300,0.418932648284229,0.1696296154208380,0.16885877796695000,0.2510842131174540
28,0.2012495415695640,0.9971859713394540,0.4557389073275230,0.9804589682455890,0.5186168810504100,0.9941128708556310,0.3922874841471450,0.3888041428115690,0.4123646632540760,0.18862367798433200,0.20937690183950200,0.243570055897396
29,0.200590150487625,0.9971823541960920,0.511245356620969,0.9555285534558000,0.529203063328479,0.9854934078035110,0.3623148677871940,0.2963850340731170,0.3645920799523070,0.154026863811412,0.15292870192601900,0.2197624211750050
