epoch,train_loss,val_loss,train_acc,val_acc,total_dice,total_recall,total_f1_score,dice_wt,precision_wt,recall_wt,f1_wt,specificity_wt,boundary_dice_wt,dice_tc,precision_tc,recall_tc,f1_tc,specificity_tc,boundary_dice_tc,dice_et,precision_et,recall_et,f1_et,specificity_et,boundary_dice_et
25,0.8314,0.8304,0.9796,0.9674,0.1632,0.4765,0.1632,0.0025,0.3923,0.0013,0.0025,1.0,0.0012,0.3656,0.2536,0.8141,0.3656,0.9842,0.0868,0.1214,0.0724,0.6141,0.1214,0.9838,0.037
26,0.8309,0.8303,0.9799,0.9608,0.1511,0.4844,0.1511,0.0053,0.4328,0.0027,0.0053,1.0,0.0023,0.3291,0.2208,0.8165,0.3291,0.9803,0.0771,0.1188,0.0707,0.634,0.1188,0.9809,0.0374
27,0.8305,0.8299,0.9798,0.9636,0.1559,0.4831,0.1559,0.013,0.4751,0.0067,0.013,1.0,0.005,0.3338,0.2219,0.8455,0.3338,0.9805,0.0731,0.1207,0.0725,0.5971,0.1207,0.9835,0.0425
28,0.83,0.8258,0.9802,0.9661,0.1639,0.4681,0.1639,0.0204,0.4929,0.0108,0.0204,1.0,0.0051,0.3519,0.246,0.7605,0.3519,0.9855,0.0879,0.1193,0.0707,0.6329,0.1193,0.9813,0.0333
29,0.8296,0.8309,0.9799,0.9731,0.1904,0.4825,0.1904,0.0411,0.5198,0.0226,0.0411,1.0,0.0161,0.3992,0.2812,0.8109,0.3992,0.9879,0.0977,0.1309,0.0791,0.6139,0.1309,0.986,0.0436
30,0.829,0.8283,0.9807,0.9756,0.2105,0.4849,0.2105,0.0821,0.5461,0.0489,0.0821,1.0,0.0284,0.4152,0.2999,0.7841,0.4152,0.9898,0.1077,0.1342,0.0809,0.6215,0.1342,0.987,0.041
31,0.8285,0.8283,0.981,0.9696,0.2163,0.5007,0.2163,0.1525,0.5526,0.1046,0.1525,0.9999,0.0548,0.3617,0.2541,0.78,0.3617,0.9851,0.0913,0.1348,0.0818,0.6175,0.1348,0.9855,0.046
32,0.8279,0.8294,0.9812,0.9726,0.2372,0.5266,0.2372,0.1831,0.5497,0.1355,0.1831,0.9998,0.0826,0.3906,0.2687,0.8577,0.3906,0.9851,0.0936,0.1378,0.0842,0.5865,0.1378,0.9881,0.0538
33,0.8273,0.8252,0.9817,0.9752,0.2739,0.5563,0.2739,0.2856,0.5518,0.2613,0.2856,0.9996,0.1446,0.3986,0.2757,0.8681,0.3986,0.986,0.0907,0.1375,0.0859,0.5394,0.1375,0.9899,0.0716
34,0.8264,0.8245,0.9819,0.9782,0.2795,0.5292,0.2795,0.2726,0.4735,0.2483,0.2726,0.9996,0.1381,0.4248,0.3065,0.8033,0.4248,0.9897,0.1119,0.1411,0.0885,0.5361,0.1411,0.9901,0.0683
35,0.8258,0.8259,0.9819,0.9771,0.2908,0.5531,0.2908,0.3271,0.4766,0.3185,0.3271,0.9994,0.1611,0.4045,0.2923,0.7728,0.4045,0.9898,0.1067,0.1407,0.0874,0.568,0.1407,0.989,0.0681
36,0.825,0.8241,0.9823,0.9803,0.2952,0.5338,0.2952,0.3004,0.4941,0.2789,0.3004,0.9996,0.1539,0.4383,0.321,0.7978,0.4383,0.991,0.1134,0.1468,0.0935,0.5248,0.1468,0.9911,0.0768
37,0.8244,0.822,0.9825,0.9776,0.2935,0.5561,0.2935,0.3256,0.5402,0.3239,0.3256,0.9994,0.1613,0.4063,0.2906,0.8009,0.4063,0.9885,0.106,0.1486,0.0944,0.5434,0.1486,0.9906,0.0756
38,0.8239,0.819,0.9828,0.9727,0.2966,0.5814,0.2966,0.3832,0.5059,0.442,0.3832,0.9985,0.1751,0.3637,0.2524,0.8002,0.3637,0.9846,0.0924,0.1429,0.0919,0.5019,0.1429,0.9901,0.0819
39,0.8232,0.8178,0.9831,0.9775,0.3098,0.5826,0.3098,0.3851,0.5389,0.4038,0.3851,0.9991,0.1834,0.3928,0.2734,0.8236,0.3928,0.9875,0.0945,0.1516,0.0979,0.5205,0.1516,0.9915,0.0842
40,0.8228,0.814,0.9831,0.9788,0.3265,0.5879,0.3265,0.4262,0.5292,0.4805,0.4262,0.9987,0.1935,0.4008,0.2895,0.7708,0.4008,0.9892,0.109,0.1524,0.0987,0.5122,0.1524,0.9918,0.0869
41,0.8221,0.8196,0.9835,0.9768,0.3026,0.5663,0.3026,0.3607,0.4691,0.3566,0.3607,0.9994,0.1787,0.3883,0.2757,0.7822,0.3883,0.9879,0.1021,0.1588,0.1017,0.5602,0.1588,0.9904,0.0835
42,0.8215,0.8192,0.9837,0.9778,0.3132,0.5781,0.3132,0.3973,0.5114,0.4503,0.3973,0.9989,0.1823,0.3931,0.2826,0.7721,0.3931,0.9887,0.1052,0.1492,0.0963,0.5117,0.1492,0.9911,0.0861
43,0.8211,0.817,0.9838,0.9773,0.3101,0.5787,0.3101,0.3898,0.4906,0.455,0.3898,0.9988,0.18,0.3909,0.2771,0.7932,0.3909,0.9879,0.1002,0.1495,0.0979,0.4879,0.1495,0.9914,0.09
44,0.8204,0.8172,0.984,0.9788,0.3151,0.5757,0.3151,0.3867,0.497,0.4389,0.3867,0.9989,0.1828,0.3991,0.2909,0.7521,0.3991,0.9897,0.109,0.1595,0.1034,0.5361,0.1595,0.9913,0.0883
45,0.8199,0.8155,0.9842,0.9792,0.3185,0.5871,0.3185,0.3776,0.4941,0.4063,0.3776,0.9991,0.1805,0.4117,0.2933,0.8174,0.4117,0.9888,0.1073,0.166,0.1085,0.5374,0.166,0.9921,0.0949
46,0.8194,0.8185,0.9843,0.9769,0.304,0.5683,0.304,0.353,0.4915,0.3416,0.353,0.9994,0.1729,0.3997,0.2808,0.832,0.3997,0.9873,0.0985,0.1592,0.1038,0.5312,0.1592,0.991,0.0904
47,0.8189,0.81,0.9844,0.9775,0.3232,0.6076,0.3232,0.4418,0.5019,0.5434,0.4418,0.998,0.1978,0.367,0.2614,0.7523,0.367,0.988,0.1015,0.1608,0.105,0.527,0.1608,0.9919,0.095
48,0.8185,0.8128,0.9846,0.9797,0.3234,0.576,0.3234,0.398,0.5038,0.4381,0.398,0.999,0.1899,0.4049,0.2951,0.76,0.4049,0.9899,0.1137,0.1673,0.1104,0.53,0.1673,0.9919,0.098
49,0.8183,0.8114,0.9847,0.9803,0.3259,0.5805,0.3259,0.4019,0.5038,0.4594,0.4019,0.9989,0.1911,0.4113,0.2998,0.7693,0.4113,0.9901,0.1134,0.1645,0.1088,0.5128,0.1645,0.9924,0.0992
