epoch,train_loss,val_loss,train_acc,val_acc,total_dice,total_recall,total_f1_score,dice_wt,precision_wt,recall_wt,f1_wt,specificity_wt,boundary_dice_wt,dice_tc,precision_tc,recall_tc,f1_tc,specificity_tc,boundary_dice_tc,dice_et,precision_et,recall_et,f1_et,specificity_et,boundary_dice_et
25,0.7461,0.7517,0.9901,0.9798,0.3516,0.6059,0.3516,0.2615,0.2652,0.3787,0.2615,0.9963,0.1365,0.4401,0.3305,0.8024,0.4401,0.9894,0.1494,0.3532,0.3075,0.6368,0.3532,0.9945,0.2627
26,0.7416,0.7514,0.9893,0.9749,0.3207,0.4937,0.31,0.202,0.2503,0.2272,0.202,0.9983,0.1113,0.3483,0.245,0.8766,0.3483,0.9778,0.0954,0.4119,0.4918,0.3774,0.3796,0.9992,0.3114
27,0.7369,0.7494,0.9898,0.9629,0.2811,0.5794,0.2811,0.2071,0.2378,0.249,0.2071,0.9986,0.1441,0.314,0.2121,0.8871,0.314,0.972,0.0841,0.3221,0.2773,0.602,0.3221,0.9924,0.2338
28,0.7319,0.7397,0.9916,0.9829,0.3632,0.5707,0.3632,0.1992,0.2161,0.2517,0.1992,0.9978,0.1268,0.4722,0.35,0.8767,0.4722,0.9873,0.1652,0.4183,0.3977,0.5836,0.4183,0.9983,0.3224
29,0.7286,0.735,0.9918,0.9863,0.3981,0.5719,0.3946,0.2488,0.2816,0.2879,0.2488,0.998,0.1383,0.5055,0.3941,0.8419,0.5055,0.9907,0.1914,0.4401,0.4117,0.5859,0.4294,0.9983,0.3376
30,0.7259,0.7384,0.9919,0.9749,0.364,0.5995,0.3568,0.2737,0.2714,0.3906,0.2737,0.9966,0.1535,0.3975,0.2987,0.8224,0.3975,0.9832,0.129,0.4208,0.3927,0.5856,0.3993,0.9953,0.3184
31,0.723,0.7311,0.9922,0.9852,0.4021,0.585,0.3985,0.2545,0.2723,0.3336,0.2545,0.9975,0.1512,0.5007,0.3954,0.84,0.5007,0.9902,0.1957,0.4511,0.4349,0.5814,0.4403,0.998,0.368
32,0.7203,0.7286,0.9922,0.987,0.4176,0.6054,0.4141,0.321,0.3899,0.3853,0.321,0.9982,0.1809,0.4921,0.3802,0.831,0.4921,0.9914,0.1728,0.4399,0.4036,0.5997,0.4291,0.9979,0.3617
33,0.7174,0.7262,0.9923,0.9855,0.4106,0.6055,0.407,0.3261,0.3853,0.4024,0.3261,0.998,0.1768,0.4744,0.3611,0.8376,0.4744,0.9903,0.1612,0.4311,0.4217,0.5765,0.4204,0.9976,0.3542
34,0.7152,0.7258,0.9923,0.9892,0.4296,0.5538,0.4189,0.2744,0.3293,0.3193,0.2744,0.9982,0.1548,0.5352,0.4578,0.7616,0.5352,0.994,0.2396,0.4792,0.4341,0.5805,0.447,0.9984,0.3753
35,0.7136,0.7246,0.9924,0.985,0.4125,0.5667,0.4054,0.2816,0.32,0.3331,0.2816,0.9984,0.1657,0.4841,0.3646,0.8858,0.4841,0.9879,0.1669,0.4719,0.5428,0.4812,0.4504,0.9993,0.3958
36,0.712,0.7227,0.9925,0.9844,0.4051,0.6213,0.4015,0.346,0.3789,0.4402,0.346,0.9978,0.1837,0.4518,0.3419,0.82,0.4518,0.9893,0.1555,0.4176,0.383,0.6036,0.4069,0.9976,0.33
37,0.7107,0.7192,0.9926,0.9863,0.4261,0.6106,0.4226,0.3311,0.3849,0.3789,0.3311,0.9984,0.1855,0.5021,0.3967,0.855,0.5021,0.9901,0.1978,0.4453,0.419,0.5978,0.4345,0.9982,0.358
38,0.7091,0.7181,0.9925,0.9892,0.4439,0.5848,0.4403,0.3158,0.3644,0.3728,0.3158,0.9982,0.1681,0.5411,0.4398,0.8339,0.5411,0.9928,0.2303,0.4748,0.484,0.5478,0.4641,0.999,0.3869
39,0.7076,0.7171,0.9926,0.9856,0.4159,0.6067,0.4123,0.3289,0.3441,0.425,0.3289,0.9976,0.1773,0.4792,0.3795,0.8069,0.4792,0.9908,0.1845,0.4396,0.4198,0.5882,0.4288,0.9977,0.3543
40,0.7066,0.717,0.9927,0.9875,0.4293,0.6114,0.4257,0.3461,0.4412,0.3974,0.3461,0.9984,0.1858,0.4985,0.3926,0.8228,0.4985,0.9916,0.1937,0.4434,0.4037,0.6139,0.4326,0.9979,0.344
41,0.7058,0.716,0.9928,0.9868,0.4204,0.6152,0.4168,0.313,0.3455,0.4054,0.313,0.9977,0.1736,0.4993,0.3923,0.8386,0.4993,0.9915,0.1915,0.449,0.4148,0.6015,0.4382,0.9981,0.3631
42,0.705,0.7151,0.9925,0.988,0.4261,0.6022,0.4225,0.3153,0.3466,0.381,0.3153,0.998,0.1681,0.5178,0.4174,0.813,0.5178,0.9927,0.2136,0.4452,0.4061,0.6127,0.4344,0.9979,0.3401
43,0.7044,0.714,0.9929,0.9888,0.4369,0.6123,0.4333,0.3488,0.3945,0.4216,0.3488,0.9981,0.1845,0.5172,0.4202,0.795,0.5172,0.9934,0.2165,0.4446,0.4012,0.6203,0.4339,0.9979,0.3477
44,0.7035,0.7133,0.9928,0.9881,0.4417,0.5982,0.4381,0.3275,0.3521,0.3972,0.3275,0.9983,0.1899,0.5161,0.4084,0.8449,0.5161,0.9915,0.2069,0.4815,0.4934,0.5526,0.4708,0.9989,0.4016
45,0.7029,0.7117,0.9927,0.9903,0.4548,0.6179,0.4476,0.3203,0.341,0.4175,0.3203,0.9974,0.1791,0.5662,0.4705,0.8125,0.5662,0.995,0.247,0.4779,0.416,0.6238,0.4564,0.9986,0.3694
46,0.7022,0.7112,0.9928,0.9889,0.4457,0.6052,0.4422,0.3242,0.3519,0.4011,0.3242,0.998,0.179,0.5397,0.435,0.8398,0.5397,0.9928,0.2334,0.4733,0.4611,0.5748,0.4626,0.9988,0.3841
47,0.7019,0.7133,0.993,0.988,0.4295,0.608,0.4259,0.3503,0.4067,0.4125,0.3503,0.9982,0.1804,0.5025,0.4057,0.793,0.5025,0.9927,0.204,0.4357,0.3934,0.6184,0.4249,0.9977,0.3331
48,0.7014,0.7107,0.9927,0.9893,0.4479,0.6073,0.4443,0.3318,0.3664,0.405,0.3318,0.9982,0.1872,0.5462,0.4373,0.8574,0.5462,0.9928,0.2277,0.4657,0.4671,0.5595,0.455,0.9989,0.3836
49,0.7011,0.7115,0.9928,0.9895,0.442,0.6031,0.4384,0.3192,0.3405,0.4082,0.3192,0.9978,0.1781,0.5488,0.4561,0.808,0.5488,0.9939,0.2472,0.458,0.4326,0.5931,0.4473,0.9985,0.3654
50,0.7007,0.7106,0.9928,0.9907,0.4587,0.611,0.4516,0.3297,0.3495,0.4325,0.3297,0.9975,0.18,0.5712,0.4854,0.7945,0.5712,0.9954,0.2648,0.4753,0.4288,0.6061,0.4538,0.9986,0.3725
51,0.7003,0.7094,0.9927,0.9904,0.4585,0.603,0.4549,0.3514,0.4107,0.4297,0.3514,0.9983,0.1935,0.5488,0.4518,0.8135,0.5488,0.994,0.2407,0.4752,0.4755,0.5657,0.4644,0.9988,0.3925
52,0.7001,0.7101,0.9928,0.9892,0.4377,0.6063,0.4342,0.3111,0.3346,0.401,0.3111,0.9977,0.1765,0.5422,0.4415,0.8186,0.5422,0.9938,0.2316,0.4599,0.4288,0.5995,0.4491,0.9983,0.3683
53,0.6998,0.7091,0.9928,0.9901,0.4511,0.6117,0.4475,0.3382,0.3735,0.4274,0.3382,0.998,0.1886,0.549,0.4499,0.8157,0.549,0.9942,0.237,0.4661,0.4415,0.5919,0.4553,0.9985,0.3803
54,0.6997,0.709,0.9928,0.9903,0.4552,0.6004,0.4481,0.3197,0.3508,0.3945,0.3197,0.9981,0.1808,0.5621,0.4596,0.8331,0.5621,0.9941,0.251,0.4839,0.467,0.5736,0.4624,0.9989,0.3852
